Date,Shift,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,cloud_cover,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI_Class,pm2_5_lag_1,pm2_5_lag_2,pm2_5_lag_3,pm2_5_lag_6,temperature_2m_lag_1,temperature_2m_lag_2,temperature_2m_lag_3,temperature_2m_lag_6,AQI_Class_lag_1,AQI_Class_lag_2,AQI_Class_lag_3,AQI_Class_lag_6
2023-01-01,Afternoon,29.2,54.166666666666664,12.383333333333333,235.66666666666666,1010.8166666666666,0.06666666666666667,54.333333333333336,20.4,29.7,581.0,36.0,23.9,95.0,1,89.4,50.4,38.6,41.2,24.65833333333333,24.95,30.75,28.78333333333333,2.0,2.0,2.0,2.0
2023-01-01,Morning,24.183333333333334,69.66666666666667,7.45,232.0,1014.5166666666668,0.03333333333333333,94.66666666666667,33.2,48.8,759.0,46.0,21.0,85.0,1,20.4,89.4,50.4,43.5,29.2,24.65833333333333,24.95,25.583333333333332,1.0,2.0,2.0,2.0
2023-01-01,Night,25.03333333333333,62.833333333333336,8.666666666666666,207.0,1012.2083333333334,0.0,81.41666666666667,65.0,95.0,1297.0,84.4,37.5,53.0,2,33.2,20.4,89.4,72.4,24.183333333333334,29.2,24.65833333333333,25.291666666666668,1.0,1.0,2.0,2.0
2023-01-02,Afternoon,31.71666666666667,51.0,9.883333333333333,121.0,1010.9333333333334,0.09999999999999999,95.5,29.7,43.2,515.0,33.8,15.9,162.0,1,65.0,33.2,20.4,38.6,25.03333333333333,24.183333333333334,29.2,30.75,2.0,1.0,1.0,2.0
2023-01-02,Morning,25.8,74.33333333333333,5.766666666666667,263.8333333333333,1014.4333333333334,0.0,93.83333333333333,37.5,54.0,1273.0,59.3,22.0,110.0,2,29.7,65.0,33.2,50.4,31.71666666666667,25.03333333333333,24.183333333333334,24.95,1.0,2.0,1.0,2.0
2023-01-02,Night,24.241666666666664,82.25,5.266666666666667,192.66666666666666,1012.7333333333332,0.14166666666666666,88.75,55.9,80.6,1736.0,123.5,8.8,79.0,2,37.5,29.7,65.0,89.4,25.8,31.71666666666667,25.03333333333333,24.65833333333333,2.0,1.0,2.0,2.0
2023-01-03,Afternoon,30.63333333333333,57.166666666666664,11.25,46.666666666666664,1010.0833333333334,0.0,98.5,22.1,32.1,437.0,33.4,7.3,126.0,1,55.9,37.5,29.7,20.4,24.241666666666664,25.8,31.71666666666667,29.2,2.0,2.0,1.0,1.0
2023-01-03,Morning,26.383333333333336,74.83333333333333,9.933333333333332,126.0,1013.4666666666667,0.0,43.5,24.9,35.6,673.0,42.6,3.2,89.0,1,22.1,55.9,37.5,33.2,30.63333333333333,24.241666666666664,25.8,24.183333333333334,1.0,2.0,2.0,1.0
2023-01-03,Night,24.808333333333334,89.33333333333333,6.366666666666667,224.08333333333334,1012.15,0.016666666666666666,82.83333333333333,50.8,72.6,1443.0,86.9,13.9,75.0,2,24.9,22.1,55.9,65.0,26.383333333333336,30.63333333333333,24.241666666666664,25.03333333333333,1.0,1.0,2.0,2.0
2023-01-04,Afternoon,30.483333333333334,52.666666666666664,17.166666666666668,16.833333333333332,1009.7833333333333,0.05000000000000001,100.0,10.3,14.9,499.0,41.0,21.1,68.0,0,50.8,24.9,22.1,29.7,24.808333333333334,26.383333333333336,30.63333333333333,31.71666666666667,2.0,1.0,1.0,1.0
